"Here, we show that QS activates a new program of multicellularity in Vibrio cholerae.",30582742,2018,Elife,"Howard Hughes Medical Institute","[(QS, activates, a new program)]"
"ATF4 activates transcription by directly contacting RNA polymerase II in the region of the heterodimer of α-like subunits (Rpb3-Rpb11) without involving a Mediator, which provides fast and highly effective activation of transcription of the desired genes.",31878192,2019,Front Hum Neurosci,"Laboratory of Mechanisms of Gene Expression, Shemyakin-Ovchinnikov Institute of Bioorganic Chemistry, Russian Academy of Sciences","[(ATF4, activates, transcription)]"
"Mechanistically, myocardial Angpt1 activates endocardial Tie2 and positively regulates expression of ADAMTS proteases, which is crucial for proper degradation of cardiac jelly.",29791855,2018,Cell Rep,"Graduate School of Medical Science and Engineering, Korea Advanced Institute of Science and Technology","[(myocardial Angpt1, activates, endocardial Tie2)]"
"These results suggest that compound 9 activates T cell function via the regulation of NF-AT-mediated IL-2 production.",30815315,2018,Food Sci Biotechnol,"College of Pharmacy, Chungnam National University","[(compound 9, activates, T cell function)]"
"The results suggest that CaSR activates NLRP3 inflammasome in neutrophils, contributing to ventricular remodelling after AMI.",32224080,2019,Can J Cardiol,"Department of Cardiology, First Affiliated Hospital of Harbin Medical University","[(CaSR, activates, NLRP3 inflammasome)]"
"Furthermore, we determined that IL6 activates STAT3 to up-regulate DNMT1 and DNMT3b expression in colon tumor cells, thereby revealing an epigenetic mechanism that mediates the IL6-STAT3 signaling pathway in colon carcinoma.",32488308,2020,Cancer Immunol Immunother,"Department of Biochemistry and Molecular Biology, Medical College of Georgia","[(IL6, activates, STAT3)]"
"Totally, Real Time PCR results suggest that MSCs conditioned medium activates differentiation of fibroblast to myofibroblast phenotype as confirmed through the presence of α-SMA, collagen I and collagen III expression compared to control in MRC 5 cells.",30774810,2018,Gastroenterol Hepatol Bed Bench,"Gastroenterology and Liver Diseases Research Center, Research Institute for Gastroenterology and Liver Diseases, Shahid Beheshti University of Medical Sciences","[(medium, activates, differentiation)]"
"Serotonin activates an alternate cleavage of APP to produce a fragment with known neurotrophic effects, giving it the unique ability to inhibit the OΑβI-42 production cycle.",31121578,2018,Cells Tissues Organs,"International Collaboration for Repair Discovery, University of British Columbia","[(Serotonin, activates, an alternate cleavage)]"
"Furthermore, the winged-helix domain of LEM2 activates the ESCRT-II/ESCRT-III hybrid protein CHMP7 to form co-oligomeric rings.",32494070,2020,Nature,"Quantitative Biosciences Institute, University of California","[(the winged-helix domain, activates, the ESCRT-II/ESCRT-III hybrid protein CHMP7)]"
"Thus, a regulatory pathway unique to ACC activates the alternative MYB promoter, leading to the production of a truncated Myb protein with altered transcriptional activities.",31877778,2019,Cancers (Basel),"UNM Comprehensive Cancer Center","[(a regulatory pathway, activates, the alternative MYB promoter)]"
"By interrupting the infrared beam from a photoelectric sensor above each perch, the bird activates the playback of a song through a speaker located on each side of the cage.",31929502,2019,J Vis Exp,"Department of Psychology, Whitman College.","[(the bird, activates, the playback)]"
"DNA damage activates checkpoints to arrest cell cycle progression in S and G2 phases, thereby providing time for repair and recovery.",32259055,2019,ACS Pharmacol Transl Sci,"Geisel School of Medicine at Dartmouth and Norris Cotton Cancer Center","[(DNA damage, activates, checkpoints)]"
